"","Facility.Type","license","legalName","brand","location","streetAddress","addressLocality","postalCode","telephone","Number.of.Spaces","loc","longitude","latitude","entityTitle","X.context","X.type","X.id"
"1","Garage - Parking Lot Combo",1132509,"CHELSEA MTP OPERATING, LLC","","511 25 WEST 18 STREET
NEW YORK, NY 10011
","511 25 WEST 18 STREET","NEW YORK","10011","2125755335",250,"[-74.00460000028977,40.74471526669623]",-74.0046,40.74472,"chelsea_mtp_operating_llc_1132509","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/chelsea_mtp_operating_llc_1132509"
"2","Garage - Parking Lot Combo",1228910,"37 EAST, LLC","","415 37 STREET
NEW YORK, NY 10016
","415 37 STREET","NEW YORK","10016","2125643199",60,"[-73.97156362294152,40.74544182100976]",-73.97156,40.74544,"37_east_llc_1228910","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/37_east_llc_1228910"
"3","Parking Garage",363695,"BETHON, JOHN","J BETHON GARAGE","46 DIAMOND STREET
BROOKLYN, NY 11222
","46 DIAMOND STREET","BROOKLYN","11222","7183832508",5,"[-73.94612061167136,40.724369880482115]",-73.94612,40.72437,"bethon_john_363695","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/bethon_john_363695"
"4","Parking Garage",363961,"44 STATE STREET CORP","","38 STATE STREET
BROOKLYN, NY 11201
","38 STATE STREET","BROOKLYN","11201","2128661000",90,"[-73.99836233925282,40.692063308957145]",-73.99836,40.69206,"44_state_street_corp_363961","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/44_state_street_corp_363961"
"5","Parking Garage",367518,"MANHATTAN PARKING SYSTEM W 58TH ST CORP","","200 67 STREET
NEW YORK, NY 10021
","200 67 STREET","NEW YORK","10021","2122493344",106,"[-74.02756700598034,40.63874635186466]",-74.02757,40.63875,"manhattan_parking_system_w_58th_st_corp_367518","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/manhattan_parking_system_w_58th_st_corp_367518"
"6","Parking Garage",367614,"KINNEY SYSTEMS INC","OIL MARKET GARAGE","575 11 AVENUE
NEW YORK, NY 10036
","575 11 AVENUE","NEW YORK","10036","2128894444",300,"[-73.99772750296306,40.76168358024816]",-73.99773,40.76168,"kinney_systems_inc_367614","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/kinney_systems_inc_367614"
"7","Parking Garage",369201,"VALOR PARKING LLC","","235 45 STREET
NEW YORK, NY 10017
","235 45 STREET","NEW YORK","10017","2126869800",90,"[-73.97150966361971,40.75204284470482]",-73.97151,40.75204,"valor_parking_llc_369201","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/valor_parking_llc_369201"
"8","Parking Garage",427552,"SLATE PARKING CORP","","329 21 STREET
NEW YORK, NY 10010
","329 21 STREET","NEW YORK","10010","2126296602",180,"[-73.980296039846,40.735944980380395]",-73.9803,40.73594,"slate_parking_corp_427552","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/slate_parking_corp_427552"
"9","Parking Garage",428016,"MERCER PARKING GARAGE CORP","","165 167 MERCER STREET
NEW YORK, NY 10012
","165 167 MERCER STREET","NEW YORK","10012","2122265578",120,"[-73.99789641059084,40.72553802086304]",-73.9979,40.72554,"mercer_parking_garage_corp_428016","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/mercer_parking_garage_corp_428016"
"10","Parking Garage",429461,"1056 5TH AVE PARKING LLC","","1056 5 AVENUE
NEW YORK, NY 10028
","1056 5 AVENUE","NEW YORK","10028","2126869800",55,"[-73.9600343145259,40.782044227602285]",-73.96003,40.78204,"1056_5th_ave_parking_llc_429461","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/1056_5th_ave_parking_llc_429461"
"11","Parking Garage",429675,"INTERTOWN PARKING   CORP","","55 END AVENUE
NEW YORK, NY 10028
","55 END AVENUE","NEW YORK","10028","2127367171",90,"[-74.17870866360286,40.56354984156167]",-74.17871,40.56355,"intertown_parking_corp_429675","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/intertown_parking_corp_429675"
"12","Parking Garage",429678,"ABILITY PARKING CORP","","200 END AVENUE
NEW YORK, NY 10128
","200 END AVENUE","NEW YORK","10128","2122493344",41,"[-73.95062814906976,40.781770000585084]",-73.95063,40.78177,"ability_parking_corp_429678","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/ability_parking_corp_429678"
"13","Parking Garage",697253,"DIRECT PARKING LLC","DIRECT PARKING LLC","51 56 STREET
NEW YORK, NY 10019
","51 56 STREET","NEW YORK","10019","2126869800",140,"[-73.97608876762429,40.763002812092736]",-73.97609,40.763,"direct_parking_llc_697253","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/direct_parking_llc_697253"
"14","Parking Garage",731368,"JO-DASH PARKING LLC","","488 504 3 AVENUE
NEW YORK, NY 10016
","488 504 3 AVENUE","NEW YORK","10016","2126869800",55,"[-73.97823298586354,40.745242969987146]",-73.97823,40.74524,"jo_dash_parking_llc_731368","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/jo_dash_parking_llc_731368"
"15","Parking Garage",736268,"PLAZA GARAGE CORP","GGMC","1751 1763 2 AVENUE
NEW YORK, NY 10128
","1751 1763 2 AVENUE","NEW YORK","10128","2129966363",104,"[-73.95062814906976,40.781770000585084]",-73.95063,40.78177,"plaza_garage_corp_736268","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/plaza_garage_corp_736268"
"16","Parking Garage",760802,"MERIT PARKING LLC","","39429 107 STREET
NEW YORK, NY 10029
","39429 107 STREET","NEW YORK","10029","2126869800",1000,"[-73.94403228106489,40.79161072055837]",-73.94403,40.79161,"merit_parking_llc_760802","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/merit_parking_llc_760802"
"17","Parking Garage",780839,"PRIMARY PARKING LLC","","721 10 AVENUE
NEW YORK, NY 10019
","721 10 AVENUE","NEW YORK","10019","2126869800",181,"[-73.99213661656152,40.764276435768046]",-73.99214,40.76428,"primary_parking_llc_780839","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/primary_parking_llc_780839"
"18","Parking Garage",832475,"IVY LEAGUE APT CORP","","675 ACADEMY STREET
NEW YORK, NY 10034
","675 ACADEMY STREET","NEW YORK","10034","7186277177",15,"[-73.92537444351666,40.86690425428702]",-73.92537,40.8669,"ivy_league_apt_corp_832475","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/ivy_league_apt_corp_832475"
"19","Parking Garage",851982,"132 WEST 56TH ST GARAGE CORP","","156 56 STREET
NEW YORK, NY 10019
","156 56 STREET","NEW YORK","10019","2128887400",105,"[-73.97958862087043,40.76441652097977]",-73.97959,40.76442,"132_west_56th_st_garage_corp_851982","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/132_west_56th_st_garage_corp_851982"
"20","Parking Garage",855640,"ASTRO PARKING LLC","","155 70 STREET
NEW YORK, NY 10023
","155 70 STREET","NEW YORK","10023","2126869800",43,"[-73.98173495509286,40.77694507169616]",-73.98173,40.77695,"astro_parking_llc_855640","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/astro_parking_llc_855640"
"21","Parking Garage",886174,"AMBRO OPERATING CORP","","70 20 108 STREET
FOREST HILLS, NY 11375
","70 20 108 STREET","FOREST HILLS","11375","2127511080",127,"[-73.84628429608335,40.720707263029794]",-73.84628,40.72071,"ambro_operating_corp_886174","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/ambro_operating_corp_886174"
"22","Parking Garage",889309,"FLUSHING CENTER INC","","135 20 39 AVENUE
QUEENS, NY 11354
","135 20 39 AVENUE","QUEENS","11354","7184606666",178,"[-73.82719028070687,40.76862022064671]",-73.82719,40.76862,"flushing_center_inc_889309","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/flushing_center_inc_889309"
"23","Parking Garage",891228,"HOLY, MIRA M","","848 LORIMER STREET
BROOKLYN, NY 11222
","848 LORIMER STREET","BROOKLYN","11222","7183896510",25,"[-73.95083676383737,40.72213810055406]",-73.95084,40.72214,"holy_mira_m_891228","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/holy_mira_m_891228"
"24","Parking Garage",898077,"KINNEY SYSTEM INC","KINNEY SYSTEM","3414 WAYNE AVENUE
BRONX, NY 10467
","3414 WAYNE AVENUE","BRONX","10467","2128894444",662,"[-73.87793647144666,40.87960951916951]",-73.87794,40.87961,"kinney_system_inc_898077","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/kinney_system_inc_898077"
"25","Parking Garage",900505,"CHIVIAN GARAGE CORP","","101 12 STREET
NEW YORK, NY 10011
","101 12 STREET","NEW YORK","10011","2129562280",98,"[-73.99811160924645,40.73616081766738]",-73.99811,40.73616,"chivian_garage_corp_900505","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/chivian_garage_corp_900505"
"26","Parking Garage",901088,"LTG PARKING CORP","","150 END AVENUE
NEW YORK, NY 10023
","150 END AVENUE","NEW YORK","10023","2129999999",163,"[-74.17874327846428,40.56335269915866]",-74.17874,40.56335,"ltg_parking_corp_901088","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/ltg_parking_corp_901088"
"27","Parking Garage",901963,"GRACIE PUBLIC   PARKING CORP","","401 89 STREET
NEW YORK, NY 10128
","401 89 STREET","NEW YORK","10128","2127367171",114,"[-73.94749776543745,40.77860881745033]",-73.9475,40.77861,"gracie_public_parking_corp_901963","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/gracie_public_parking_corp_901963"
"28","Parking Garage",906639,"NEW WEST MANAGEMENT CORP","","1810 LORING PLACE
BRONX, NY 10453
","1810 LORING PLACE","BRONX","10453","2125416050",65,"[-73.9161976121963,40.852149806977266]",-73.9162,40.85215,"new_west_management_corp_906639","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/new_west_management_corp_906639"
"29","Parking Garage",912191,"334 PARKING CORP","334 PARKING","302 96 STREET
NEW YORK, NY 10128
","302 96 STREET","NEW YORK","10128","2128661000",90,"[-73.94657146374726,40.78402273606673]",-73.94657,40.78402,"334_parking_corp_912191","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/334_parking_corp_912191"
"30","Parking Garage",919699,"AERO PARKING CORP","RAPID PARKING INDUSTRIES","10 30 STREET
NEW YORK, NY 10016
","10 30 STREET","NEW YORK","10016","2128661000",200,"[-73.98559304659858,40.745567726093896]",-73.98559,40.74557,"aero_parking_corp_919699","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/aero_parking_corp_919699"
"31","Parking Garage",926039,"SAM PARKING, L.L.C.","","360 BROADWAY
NEW YORK, NY 10013
","360 BROADWAY","NEW YORK","10013","2129666774",180,"[-74.00366042616719,40.717275055052085]",-74.00366,40.71728,"sam_parking_l_l_c_926039","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/sam_parking_l_l_c_926039"
"32","Parking Garage",929734,"GUIDO, FRANK G","","117 CARROLL STREET
BROOKLYN, NY 11231
","117 CARROLL STREET","BROOKLYN","11231","7188522325",23,"[-74.00127738205892,40.682415671759536]",-74.00128,40.68242,"guido_frank_g_929734","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/guido_frank_g_929734"
"33","Parking Garage",941633,"60TH STORAGE CORP","","220 60 STREET
NEW YORK, NY 10022
","220 60 STREET","NEW YORK","10022","2127373279",32,"[-73.96586195991524,40.76203415001111]",-73.96586,40.76203,"60th_storage_corp_941633","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/60th_storage_corp_941633"
"34","Parking Garage",954109,"KINNEY WEST 83RD STREET INC.","","147 83 STREET
NEW YORK, NY 10024
","147 83 STREET","NEW YORK","10024","2128894444",182,"[-73.97516091105871,40.78519185470486]",-73.97516,40.78519,"kinney_west_83rd_street_inc_954109","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/kinney_west_83rd_street_inc_954109"
"35","Parking Garage",959355,"DUFORD STUDIO GARAGE COMPANY, L.L.C.","","127 83 STREET
NEW YORK, NY 10028
","127 83 STREET","NEW YORK","10028","2128887400",200,"[-73.95740829420032,40.77771848864137]",-73.95741,40.77772,"duford_studio_garage_company_l_l_c_959355","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/duford_studio_garage_company_l_l_c_959355"
"36","Parking Garage",962008,"CENTRAL PARKING SYSTEM OF NEW YORK INC","","808 820 7 AVENUE
NEW YORK, NY 10019
","808 820 7 AVENUE","NEW YORK","10019","2126296602",210,"[-73.99180550022362,40.76761164715987]",-73.99181,40.76761,"central_parking_system_of_new_york_inc_962008","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/central_parking_system_of_new_york_inc_962008"
"37","Parking Garage",975588,"ZOOM CAR PARK INC","","3130 GRAND
BRONX, NY 10458
","3130 GRAND","BRONX","10458","2122216111",95,"[-73.88479001504714,40.86260132868841]",-73.88479,40.8626,"zoom_car_park_inc_975588","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/zoom_car_park_inc_975588"
"38","Parking Garage",976183,"EVER-READY PARKING INC","","330 46 STREET
NEW YORK, NY 10017
","330 46 STREET","NEW YORK","10017","2127367171",155,"[-73.96960647464563,40.75202826321289]",-73.96961,40.75203,"ever_ready_parking_inc_976183","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/ever_ready_parking_inc_976183"
"39","Parking Garage",976184,"IMPERIAL HOUSE PARKING LLC","","150 69 STREET
NEW YORK, NY 10021
","150 69 STREET","NEW YORK","10021","2127142442",139,"[-73.96312879160654,40.76825175409718]",-73.96313,40.76825,"imperial_house_parking_llc_976184","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/imperial_house_parking_llc_976184"
"40","Parking Garage",980798,"BEST GARAGE CORP","","105 25 GERARD PLACE
FOREST HILL, NY 11375
","105 25 GERARD PLACE","FOREST HILL","11375","2127367171",89,"[-73.84628429608335,40.720707263029794]",-73.84628,40.72071,"best_garage_corp_980798","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/best_garage_corp_980798"
"41","Parking Garage",999760,"5060 AUTO SERVICE INC","","4036 10 AVENUE
NEW YORK, NY 10034
","4036 10 AVENUE","NEW YORK","10034","2125679504",70,"[-73.91510731195625,40.869825776029636]",-73.91511,40.86983,"5060_auto_service_inc_999760","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/5060_auto_service_inc_999760"
"42","Parking Garage",1005180,"157 57TH THIRD CORP","","952 3 AVENUE
NEW YORK, NY 10022
","952 3 AVENUE","NEW YORK","10022","2123558962",83,"[-73.96766788937983,40.76013363187021]",-73.96767,40.76013,"157_57th_third_corp_1005180","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/157_57th_third_corp_1005180"
"43","Parking Garage",1010039,"300 PARKING INC","","300 55 STREET
NEW YORK, NY 10019
","300 55 STREET","NEW YORK","10019","2127367171",92,"[-73.98393298423655,40.76543669712509]",-73.98393,40.76544,"300_parking_inc_1010039","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/300_parking_inc_1010039"
"44","Parking Garage",1018977,"S.D. BARRON LLC","","85 4 AVENUE
NEW YORK, NY 10003
","85 4 AVENUE","NEW YORK","10003","2123758455",48,"[-73.99023084778766,40.7317110463489]",-73.99023,40.73171,"s_d_barron_llc_1018977","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/s_d_barron_llc_1018977"
"45","Parking Garage",1023251,"HUDSON RIVER PARKING CORP","","3720 HENRY HUDSON PARKWAY
BRONX, NY 10463
","3720 HENRY HUDSON PARKWAY","BRONX","10463","2127367171",123,"[-73.91021665234491,40.88834071464783]",-73.91022,40.88834,"hudson_river_parking_corp_1023251","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/hudson_river_parking_corp_1023251"
"46","Garage - Parking Lot Combo",1199450,"215 EAST 95TH PARKING, LLC","","201 205 EAST 95 STREET
NEW YORK, NY 10128
","201 205 EAST 95 STREET","NEW YORK","10128","2126869800",108,"[-73.95062814906976,40.781770000585084]",-73.95063,40.78177,"215_east_95th_parking_llc_1199450","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/215_east_95th_parking_llc_1199450"
"47","Garage - Parking Lot Combo",1228876,"LAZ PARKING OF NEW YORK/NEW JERSEY, INC","","80 20 COOPER AVENUE
QUEENS, NY 11385
","80 20 COOPER AVENUE","QUEENS","11385","2122652239",660,"[-73.88334858436963,40.70122489161548]",-73.88335,40.70122,"laz_parking_of_new_york_new_jersey_inc_1228876","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/laz_parking_of_new_york_new_jersey_inc_1228876"
"48","Garage - Parking Lot Combo",1241026,"C&S E-SUPERETTE, INC","","9053 9057 FORT HAMILTON PARKWAY
BROOKLYN, NY 11231
","9053 9057 FORT HAMILTON PARKWAY","BROOKLYN","11231","9172085555",15,"[-74.00467670436637,40.6775543117821]",-74.00468,40.67755,"c_s_e_superette_inc_1241026","http://schema.org","ParkingFacility","http://nyc.pediacities.com/resource/ParkingFacility/c_s_e_superette_inc_1241026"
