ID,Listing Name,Host ID,Host Name,Borough,Neighborhood,Latitude,Longitude,Room Type,Price,Min Nights,Number of Reviews,Last Review,Reviews Per Month,Listings Per Host,Days Available
4261029,1 bedroom by Riverbank Park,1689781,Jenn,Manhattan,Harlem,40.82800012,-73.94949292,Private room,90,1,3,23/05/2015,0.4,1,365
6560770,256 West 108th Street,34316326,Chen,Manhattan,Upper West Side,40.8031666,-73.96608796,Private room,40,1,0,,,1,13
605590,Clean-Colorful and Bright Apt. UWS,278866,Clemente,Manhattan,Harlem,40.82427092,-73.9458596,Entire home/apt,130,5,29,13/03/2015,0.9,4,353
269740,Luxury Skyscraper Times Square!,1412541,Tom,Manhattan,Hell's Kitchen,40.75952139,-73.99444204,Private room,150,1,10,3/11/2012,0.2,2,365
480322,Large two bedroom Grand Retreat!,1498335,Kay,Brooklyn,Bedford-Stuyvesant,40.69420305,-73.94565329,Entire home/apt,200,4,4,5/11/2013,0.1,4,322
17297,Modern Brownstone living1,67105,Nicolas,Brooklyn,Bedford-Stuyvesant,40.68134005,-73.93636742,Entire home/apt,220,5,24,5/05/2015,0.6,4,349
148524,Big & comfy duplex in Sunset Park,717060,Jennifer,Brooklyn,Sunset Park,40.64232911,-74.01670023,Entire home/apt,130,3,1,25/07/2014,0.1,2,142
6448023,"Cozy, sunlit studio in heart of BK",33665625,Tokumba,Brooklyn,Crown Heights,40.6776347,-73.9486718,Entire home/apt,55,1,0,,,1,9
3061307,Private room,15582213,Generation,Manhattan,Hell's Kitchen,40.76382867,-73.98546828,Private room,99,1,0,,,2,151
288077,Brooklyn on the Park,1874188,Gabe,Brooklyn,Williamsburg,40.71689242,-73.94977701,Entire home/apt,180,2,22,27/04/2015,0.7,1,299
5006686,One huge Studio apartment ,25820078,Affendi Alexis,Manhattan,Upper West Side,40.77477946,-73.98783754,Entire home/apt,225,1,0,,,1,117
3819304,Bright & Cozy Brownstone Studio,4110222,Nikki,Brooklyn,Crown Heights,40.67163398,-73.94473083,Entire home/apt,95,3,6,31/05/2015,0.6,1,161
2115611,Large 1BR right by Prospect Park,1998676,Mal,Brooklyn,Windsor Terrace,40.65136388,-73.97242521,Entire home/apt,95,7,3,2/01/2015,0.3,1,149
1475631,BLYN BROWNSTONE CORZY CORNER in NYC,2015914,Majar,Brooklyn,Bushwick,40.68786012,-73.91722092,Private room,59,3,40,27/05/2015,1.8,7,303
3344400,THE WHITE GALLERY- 4B/2B,16880163,Heather,Manhattan,Chinatown,40.71674532,-73.99663333,Entire home/apt,750,2,10,16/05/2015,0.9,2,348
493282,Luxury Apartment Times Square!,1412541,Tom,Manhattan,Hell's Kitchen,40.75790854,-73.99337248,Private room,150,1,4,9/12/2012,0.1,2,365
3084798,Twin Room for 2 people.,15582213,Generation,Manhattan,Hell's Kitchen,40.76493866,-73.98640922,Private room,119,1,0,,,2,152
5905130,Beautiful 1Bed Apt in Park Slope,30671432,Susana,Brooklyn,Sunset Park,40.66485716,-73.99283499,Entire home/apt,150,7,0,,,1,30
1791891,B'ful Open airy light-filled home,1871602,Cheo,Manhattan,Hell's Kitchen,40.76181884,-73.98703882,Entire home/apt,345,4,27,27/05/2015,1.4,1,242
