attraction,latitude,longitude
Statue of Liberty, 40.689247, -74.044502
Empire State Building, 40.748817, -73.985428
Central Park, 40.785091, -73.968285
Broadway, 40.782033, -73.981244
Metropolitan Museum of Art, 40.779660, -73.963255
Rockefeller Center, 40.758915, -73.978684
Brooklyn Bridge, 40.706309, -73.996896
Times Square, 40.759159, -73.985195
Chrysler Building, 40.751877, -73.975545
New York Public Library, 40.753341, -73.982264
Guggenheim Museum, 40.783195, -73.958981
Wall Street, 40.706199, -74.008804
St Patrick's Cathedral, 40.758797, -73.976283
National September 11 Memorial, 40.711707, -74.013283
