Facility Type,license,legalName,brand,location,streetAddress,addressLocality,postalCode,telephone,Number of Spaces,loc,longitude,latitude,entityTitle,@context,@type,@id
Garage - Parking Lot Combo,1132509,"CHELSEA MTP OPERATING, LLC",,"511 25 WEST 18 STREET
NEW YORK, NY 10011
",511 25 WEST 18 STREET,NEW YORK,10011,2125755335,250,"[-74.00460000028977,40.74471526669623]",-74.00460000028977,40.74471526669623,chelsea_mtp_operating_llc_1132509,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/chelsea_mtp_operating_llc_1132509
Garage - Parking Lot Combo,1228910,"37 EAST, LLC",,"415 37 STREET
NEW YORK, NY 10016
",415 37 STREET,NEW YORK,10016,2125643199,60,"[-73.97156362294152,40.74544182100976]",-73.97156362294152,40.74544182100976,37_east_llc_1228910,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/37_east_llc_1228910
Parking Garage,363695,"BETHON, JOHN",J BETHON GARAGE,"46 DIAMOND STREET
BROOKLYN, NY 11222
",46 DIAMOND STREET,BROOKLYN,11222,7183832508,5,"[-73.94612061167136,40.724369880482115]",-73.94612061167136,40.724369880482115,bethon_john_363695,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/bethon_john_363695
Parking Garage,363961,44 STATE STREET CORP,,"38 STATE STREET
BROOKLYN, NY 11201
",38 STATE STREET,BROOKLYN,11201,2128661000,90,"[-73.99836233925282,40.692063308957145]",-73.99836233925282,40.692063308957145,44_state_street_corp_363961,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/44_state_street_corp_363961
Parking Garage,367518,MANHATTAN PARKING SYSTEM W 58TH ST CORP,,"200 67 STREET
NEW YORK, NY 10021
",200 67 STREET,NEW YORK,10021,2122493344,106,"[-74.02756700598034,40.63874635186466]",-74.02756700598034,40.63874635186466,manhattan_parking_system_w_58th_st_corp_367518,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/manhattan_parking_system_w_58th_st_corp_367518
Parking Garage,367614,KINNEY SYSTEMS INC,OIL MARKET GARAGE,"575 11 AVENUE
NEW YORK, NY 10036
",575 11 AVENUE,NEW YORK,10036,2128894444,300,"[-73.99772750296306,40.76168358024816]",-73.99772750296306,40.76168358024816,kinney_systems_inc_367614,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/kinney_systems_inc_367614
Parking Garage,369201,VALOR PARKING LLC,,"235 45 STREET
NEW YORK, NY 10017
",235 45 STREET,NEW YORK,10017,2126869800,90,"[-73.97150966361971,40.75204284470482]",-73.97150966361971,40.75204284470482,valor_parking_llc_369201,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/valor_parking_llc_369201
Parking Garage,427552,SLATE PARKING CORP,,"329 21 STREET
NEW YORK, NY 10010
",329 21 STREET,NEW YORK,10010,2126296602,180,"[-73.980296039846,40.735944980380395]",-73.980296039846,40.735944980380395,slate_parking_corp_427552,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/slate_parking_corp_427552
Parking Garage,428016,MERCER PARKING GARAGE CORP,,"165 167 MERCER STREET
NEW YORK, NY 10012
",165 167 MERCER STREET,NEW YORK,10012,2122265578,120,"[-73.99789641059084,40.72553802086304]",-73.99789641059084,40.72553802086304,mercer_parking_garage_corp_428016,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/mercer_parking_garage_corp_428016
Parking Garage,429461,1056 5TH AVE PARKING LLC,,"1056 5 AVENUE
NEW YORK, NY 10028
",1056 5 AVENUE,NEW YORK,10028,2126869800,55,"[-73.9600343145259,40.782044227602285]",-73.9600343145259,40.782044227602285,1056_5th_ave_parking_llc_429461,http://schema.org,ParkingFacility,http://nyc.pediacities.com/resource/ParkingFacility/1056_5th_ave_parking_llc_429461
