name,ID,ADDRESS,CITY,zip,Shape,PHONE,TYPE,URL
Queens Library - Arverne,955,312 Beach 54 Street,Arverne,11692,"(40.59314711500008, -73.78404002699995)",718-634-4784,Free,http://www.queenslibrary.org/
Cafe Bar,140,3290 36th St,Astoria,11106,"(40.75804505900004, -73.9233935609999)",718-204-5273,Free,http://www.yelp.com/biz/cafe-bar-astoria
Time Caf̩ Astoria,1251,44-18 Broadway,Astoria,11103,"(40.75695292000006, -73.91530455599991)",,Free,http://www.timecafeny.com/index.php?page=wifi
Caf̩ Soleil,1258,37-14 Astoria Blvd,Astoria,11103,"(40.76892595700008, -73.91249405499991)",,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Cafe_Soleil_Queens_NY_32472.aspx
Plaza Lounge,1277,29-20 30th Avenue,Astoria,11102,"(40.76744166900005, -73.92297906599993)",,Free,http://www.wififreespot.com/ny.html
Sanford Restaurant,1283,30-13 Broadway,Astoria,11106,"(40.76229642700008, -73.92555450499992)",,Free,http://www.openwifispots.com/spot_free_wifi_wireless_hotspot_Sanford_Restaurant_New_York_NY_19754.aspx
Queens Library - Windsor Park,1004,79-50 Bell Boulevard,Bayside,11364,"(40.734486598000046, -73.75568166999994)",718-468-8300,Free,http://www.queenslibrary.org/
Barnes & Noble,1070,23-80 Bell Blvd.,Bayside,11360,"(40.78069713300005, -73.77645545299993)",718-224-1083,Free,http://www.barnesandnobleinc.com
Bagels And Bake,135,40-15 Bell Blvd.,Bayside,11361,"(40.76386998900006, -73.7707956939999)",718-229-6132,Free,http://local.yahoo.com/info-11375980-bagels-and-bake-under-the-green-canopy-bayside
Bagels & Cakes,1252,42-14 Bell Boulevard,Bayside,11361,"(40.76228327700005, -73.77058988499994)",,Free,http://www.wififreespot.com/ny.html
Yogurteria,1310,213-35 39th Avenue,Bayside,11361,"(40.76562116400004, -73.77159895499994)",,Free,http://www.wififreespot.com/ny.html
Queens Library - Bay Terrace,958,18-36 Bell Boulevard,Bayside,11360,"(40.78253153700007, -73.77700881399994)",718-423-7004,Free,http://www.queenslibrary.org/
Queens Library - Bayside,959,214-20 Northern Boulevard,Bayside,11361,"(40.76012591500006, -73.76836198099994)",718-229-1834,Free,http://www.queenslibrary.org/
Queens Library - Bellerose,960,250-06 Hillside Avenue,Bellerose,11426,"(40.73540282100004, -73.71726581999991)",718-831-8644,Free,http://www.queenslibrary.org/
Queens Library - Briarwood,961,85-12 Main Street,Briarwood,11435,"(40.71003489100008, -73.81945311999993)",718-658-1680,Free,http://www.queenslibrary.org/
Queens Library - Broad Channel,962,16-26 Cross Bay Boulevard,Broad Channel,11693,"(40.60073243800008, -73.82005266099992)",718-318-4943,Free,http://www.queenslibrary.org/
NYC Public Library - Baychester Branch,1,2049 Asch Loop North,Bronx,10475,"(40.87027917200004, -73.82861632099991)",718-379-6700,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Castel Hill Branch,2,947 Castle Hill Avenue,Bronx,10473,"(40.82661067600009, -73.85018107899992)",718-824-3838,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - City Island Branch,3,320 City Island Avenue,Bronx,10464,"(40.84769385000004, -73.78636716099993)",718-885-1703,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Clason's Point Branch,4,1215 Morrison Avenue,Bronx,10472,"(40.82999431400009, -73.87501990299995)",718-842-1235,Free,http://www.nypl.org/branch/services/wifi.html
NYC Public Library - Eastchester Branch,5,1385 East Gun Hill Road,Bronx,10469,"(40.870140491000086, -73.84506443399994)",718-653-3292,Free,http://www.nypl.org/branch/services/wifi.html
